Наименование|Категория|Полное наименование|Мощность, кВт|Номинальная частота вращения, об/мин|Фактическая частота вращения, об/мин|Номинальный ток, А (при U=380В)|Напряжение, В|Количество полюсов|КПД, %|Коэфициент мощности, COS φ|Соотношение токов, Iп/Iн|Соотношение крутящих моментов, Mп/ Mн|Соотношение крутящих моментов, Mтах/ Mн|Момент инерции, кг*м2|Уровень шума, Дб|Габаритные размеры, мм|Высота вала, мм|Масса, кг|Частота, Гц|Класс энергоэффективности|Класс изоляции|Метод охлаждения|Класс защиты (пылевлагозащита)|Климатическое исполнение|Цена, руб.
АИР56A4|Электродвигатели АИР|Электродвигатель АИР56A4 0,12 кВт 1500 об/мин|0.12|1500|1310|0.44|220/380 ( Δ / Y )|4|57|0.72|4.4|2.2|2.1|||204x156|56|4.5|50|IE1|F|IC411|IP55|У1|3,559.00   
АИР56A2|Электродвигатели АИР|Электродвигатель АИР56A2 0,18 кВт 3000 об/мин|0.18|3000|2720|0.53|220/380 ( Δ / Y )|2|65|0.8|5.5|2.3|2.3|||204x156|56|4.5|50|IE1|F|IC411|IP55|У1|3,559.00   
АИР56B4|Электродвигатели АИР|Электродвигатель АИР56B4 0,18 кВт 1500 об/мин|0.18|1500|1310|0.62|220/380 ( Δ / Y )|4|60|0.73|4.4|2.2|2.1|||204x156|56|4.7|50|IE1|F|IC411|IP55|У1|3,812.00   
АИР63A6|Электродвигатели АИР|Электродвигатель АИР63A6 0,18 кВт 1000 об/мин|0.18|1000|870|0.74|220/380 ( Δ / Y )|6|56|0.66|4|1.9|2|||231x173|63|6|50|IE1|F|IC411|IP55|У1|4,971.00   
АИР71A8|Электродвигатели АИР|Электродвигатель АИР71A8 0,18 кВт 750 об/мин|0.18|750|645|0.83|220/380 ( Δ / Y )|8|51|0.61|3.3|1.8|1.9|0,0020|52|280x200|71|10|50|IE1|F|IC411|IP55|У1|6,980.00   
АИР56B2|Электродвигатели АИР|Электродвигатель АИР56B2 0,25 кВт 3000 об/мин|0.25|3000|2720|0.69|220/380 ( Δ / Y )|2|68|0.81|5.5|2.3|2.3|||204x156|56|4.7|50|IE1|F|IC411|IP55|У1|3,746.00   
АИР63A4|Электродвигатели АИР|Электродвигатель АИР63A4 0,25 кВт 1500 об/мин|0.25|1500|1340|0.79|220/380 ( Δ / Y )|4|65|0.74|5.2|2.2|2.1|||231x173|63|6|50|IE1|F|IC411|IP55|У1|4,376.00   
АИР63B6|Электродвигатели АИР|Электродвигатель АИР63B6 0,25 кВт 1000 об/мин|0.25|1000|870|0.95|220/380 ( Δ / Y )|6|59|0.68|4|1.9|2|||231x173|63|6.3|50|IE1|F|IC411|IP55|У1|5,246.00   
АИР71B8|Электродвигатели АИР|Электродвигатель АИР71B8 0,25 кВт 750 об/мин|0.25|750|645|1.1|220/380 ( Δ / Y )|8|54|0.61|3.3|1.8|1.9|0,0025|52|280x200|71|11|50|IE1|F|IC411|IP55|У1|7,221.00   
АИР63A2|Электродвигатели АИР|Электродвигатель АИР63A2 0,37 кВт 3000 об/мин|0.37|3000|2755|1.01|220/380 ( Δ / Y )|2|69|0.81|6.1|2.2|2.3|||231x173|63|6|50|IE1|F|IC411|IP55|У1|3,938.00   
АИР63B4|Электродвигатели АИР|Электродвигатель АИР63B4 0,37 кВт 1500 об/мин|0.37|1500|1340|1.12|220/380 ( Δ / Y )|4|67|0.75|5.2|2.2|2.1|||231x173|63|6.3|50|IE1|F|IC411|IP55|У1|4,608.00   
АИР71A6|Электродвигатели АИР|Электродвигатель АИР71A6 0,37 кВт 1000 об/мин|0.37|1000|880|1.3|220/380 ( Δ / Y )|6|62|0.7|4.7|1.9|2|0.0015|54|280x200|71|10|50|IE1|F|IC411|IP55|У1|6,424.00   
АИР80A8|Электродвигатели АИР|Электродвигатель АИР80A8 0,37 кВт 750 об/мин|0.37|750|675|1.49|220/380 ( Δ / Y )|8|62|0.61|4|1.8|1.9|0,0030|56|300x209|80|13|50|IE1|F|IC411|IP55|У1|8,719.00   
АИР63B2|Электродвигатели АИР|Электродвигатель АИР63B2 0,55 кВт 3000 об/мин|0.55|3000|2790|1.38|220/380 ( Δ / Y )|2|74|0.81|6.1|2.2|2.3|||231x173|63|6.3|50|IE1|F|IC411|IP55|У1|4,527.00   
АИР71A4|Электродвигатели АИР|Электродвигатель АИР71A4 0,55 кВт 1500 об/мин|0.55|1500|1390|1.57|220/380 ( Δ / Y )|4|71|0.75|5.2|2.4|2.3|0,0010|58|280x200|71|10|50|IE1|F|IC411|IP55|У1|5,991.00   
АИР71B6|Электродвигатели АИР|Электродвигатель АИР71B6 0,55 кВт 1000 об/мин|0.55|1000|880|1.79|220/380 ( Δ / Y )|6|65|0.72|4.7|1.9|2.1|0,0020|54|280x200|71|10|50|IE1|F|IC411|IP55|У1|6,772.00   
АИР80B8|Электродвигатели АИР|Электродвигатель АИР80B8 0,55 кВт 750 об/мин|0.55|750|680|2.17|220/380 ( Δ / Y )|8|63|0.61|4|1.8|2|0,0038|56|320x209|80|14|50|IE1|F|IC411|IP55|У1|9,461.00   
АИР71A2|Электродвигатели АИР|Электродвигатель АИР71A2 0,75 кВт 3000 об/мин|0.75|3000|2840|1.83|220/380 ( Δ / Y )|2|75|0.83|6.1|2.2|2.3|0.0006|67|280x200|71|10|50|IE1|F|IC411|IP55|У1|6,045.00   
АИР71B4|Электродвигатели АИР|Электродвигатель АИР71B4 0,75 кВт 1500 об/мин|0.75|1500|1390|2.05|220/380 ( Δ / Y )|4|73|0.76|6|2.3|2.3|0.0015|58|280x200|71|11|50|IE1|F|IC411|IP55|У1|6,646.00   
АИР80A6|Электродвигатели АИР|Электродвигатель АИР80A6 0,75 кВт 1000 об/мин|0.75|1000|905|2.3|220/380 ( Δ / Y )|6|69|0.72|5.3|2|2.1|0,0035|57|300x209|80|16.9|50|IE1|F|IC411|IP55|У1|8,083.00   
АИР90LA8|Электродвигатели АИР|Электродвигатель АИР90LA8 0,75 кВт 750 об/мин|0.75|750|680|2.43|220/380 ( Δ / Y )|8|70|0.67|4|1.8|2|0,0063|59|357x240|90|25|50|IE1|F|IC411|IP55|У1|10,491.00   
АИР71B2|Электродвигатели АИР|Электродвигатель АИР71B2 1,1 кВт 3000 об/мин|1.1|3000|2840|2.61|220/380 ( Δ / Y )|2|76.2|0.84|6.9|2.2|2.3|0.0008|67|280x200|71|11|50|IE1|F|IC411|IP55|У1|6,646.00   
АИР80A4|Электродвигатели АИР|Электродвигатель АИР80A4 1,1 кВт 1500 об/мин|1.1|1500|1390|2.85|220/380 ( Δ / Y )|4|76.2|0.77|6|2.3|2.3|0,0028 |61|300x209|80|16.4|50|IE1|F|IC411|IP55|У1|7,576.00   
АИР80B6|Электродвигатели АИР|Электродвигатель АИР80B6 1,1 кВт 1000 об/мин|1.1|1000|905|3.2|220/380 ( Δ / Y )|6|72|0.73|5.5|2|2.1|0,0048|57|320x209|80|18.1|50|IE1|F|IC411|IP55|У1|8,674.00   
АИР90LB8|Электродвигатели АИР|Электродвигатель АИР90LB8 1,1 кВт 750 об/мин|1.1|750|680|3.36|220/380 ( Δ / Y )|8|72|0.69|5|1.8|2|0,0090|59|357x240|90|26|50|IE1|F|IC411|IP55|У1|12,090.00   
